2008,12,15,KEY,BUY,100
2008,12,22,KEY,SELL,100
2008,12,22,KEY,BUY,100
2008,12,30,KEY,SELL,100
2009,1,7,KEY,BUY,100
2009,1,14,KEY,SELL,100
2009,1,9,KEY,BUY,100
2009,1,16,KEY,SELL,100
2009,1,29,KEY,BUY,100
2009,2,5,KEY,SELL,100
2009,2,10,KEY,BUY,100
2009,2,18,KEY,SELL,100
2009,2,27,KEY,BUY,100
2009,3,6,KEY,SELL,100
2009,3,20,KEY,BUY,100
2009,3,27,KEY,SELL,100
2009,3,30,KEY,BUY,100
2009,4,6,KEY,SELL,100
2009,4,6,KEY,BUY,100
2009,4,14,KEY,SELL,100
2009,4,20,KEY,BUY,100
2009,4,27,KEY,SELL,100
2009,3,5,KIM,BUY,100
2009,3,12,KIM,SELL,100
2009,3,16,KIM,BUY,100
2009,3,23,KIM,SELL,100
2009,3,20,KIM,BUY,100
2009,3,27,KIM,SELL,100
2009,3,24,KIM,BUY,100
2009,3,31,KIM,SELL,100
2009,3,27,KIM,BUY,100
2009,4,3,KIM,SELL,100
2008,11,19,KMX,BUY,100
2008,11,26,KMX,SELL,100
2008,12,15,KMX,BUY,100
2008,12,22,KMX,SELL,100
2008,12,19,KMX,BUY,100
2008,12,29,KMX,SELL,100
2009,1,12,KMX,BUY,100
2009,1,20,KMX,SELL,100
2009,1,20,KMX,BUY,100
2009,1,27,KMX,SELL,100
2008,10,23,LEN,BUY,100
2008,10,30,LEN,SELL,100
2008,11,7,LEN,BUY,100
2008,11,14,LEN,SELL,100
2009,1,14,LEN,BUY,100
2009,1,22,LEN,SELL,100
2009,1,30,LEN,BUY,100
2009,2,6,LEN,SELL,100
2009,2,4,LEN,BUY,100
2009,2,11,LEN,SELL,100
2009,2,10,LEN,BUY,100
2009,2,18,LEN,SELL,100
2009,3,16,LEN,BUY,100
2009,3,23,LEN,SELL,100
2009,3,31,LEN,BUY,100
2009,4,7,LEN,SELL,100
2009,4,14,LEN,BUY,100
2009,4,21,LEN,SELL,100
2009,4,20,LEN,BUY,100
2009,4,27,LEN,SELL,100
2009,4,22,LEN,BUY,100
2009,4,29,LEN,SELL,100
2009,6,12,LEN,BUY,100
2009,6,19,LEN,SELL,100
2008,11,19,LNC,BUY,100
2008,11,26,LNC,SELL,100
2009,3,2,LNC,BUY,100
2009,3,9,LNC,SELL,100
2009,3,20,LNC,BUY,100
2009,3,27,LNC,SELL,100
2009,3,30,LNC,BUY,100
2009,4,6,LNC,SELL,100
2008,11,19,LTD,BUY,100
2008,11,26,LTD,SELL,100
2008,12,1,LTD,BUY,100
2008,12,8,LTD,SELL,100
2009,1,30,LTD,BUY,100
2009,2,6,LTD,SELL,100
2009,2,17,LTD,BUY,100
2009,2,24,LTD,SELL,100
2009,2,26,LTD,BUY,100
2009,3,5,LTD,SELL,100
2009,3,16,LTD,BUY,100
2009,3,23,LTD,SELL,100
2008,11,20,LUV,BUY,100
2008,11,28,LUV,SELL,100
2008,12,1,LUV,BUY,100
2008,12,8,LUV,SELL,100
2008,12,10,LUV,BUY,100
2008,12,17,LUV,SELL,100
2008,12,22,LUV,BUY,100
2008,12,30,LUV,SELL,100
2009,1,14,LUV,BUY,100
2009,1,22,LUV,SELL,100
2009,1,26,LUV,BUY,100
2009,2,2,LUV,SELL,100
2008,11,14,M,BUY,100
2008,11,21,M,SELL,100
2009,2,18,M,BUY,100
2009,2,25,M,SELL,100
2009,2,26,M,BUY,100
2009,3,5,M,SELL,100
2009,3,16,M,BUY,100
2009,3,23,M,SELL,100
2008,11,12,MAS,BUY,100
2008,11,19,MAS,SELL,100
2008,11,14,MAS,BUY,100
2008,11,21,MAS,SELL,100
2008,11,19,MAS,BUY,100
2008,11,26,MAS,SELL,100
2009,1,30,MAS,BUY,100
2009,2,6,MAS,SELL,100
2009,2,5,MAS,BUY,100
2009,2,12,MAS,SELL,100
2009,2,10,MAS,BUY,100
2009,2,18,MAS,SELL,100
2009,4,13,MAS,BUY,100
2009,4,20,MAS,SELL,100
2009,4,20,MAS,BUY,100
2009,4,27,MAS,SELL,100
2008,1,17,MSI,BUY,100
2008,1,25,MSI,SELL,100
2008,6,10,MU,BUY,100
2008,6,17,MU,SELL,100
2009,9,11,MU,BUY,100
2009,9,18,MU,SELL,100
2009,10,1,MU,BUY,100
2009,10,8,MU,SELL,100
2009,10,16,MU,BUY,100
2009,10,23,MU,SELL,100
2009,10,21,MU,BUY,100
2009,10,28,MU,SELL,100
2009,3,3,MWV,BUY,100
2009,3,10,MWV,SELL,100
2009,3,5,MWV,BUY,100
2009,3,12,MWV,SELL,100
2008,10,8,MYL,BUY,100
2008,10,15,MYL,SELL,100
2008,10,15,MYL,BUY,100
2008,10,22,MYL,SELL,100
2008,10,20,MYL,BUY,100
2008,10,27,MYL,SELL,100
2008,11,19,MYL,BUY,100
2008,11,26,MYL,SELL,100
2009,3,3,NI,BUY,100
2009,3,10,NI,SELL,100
2009,3,5,NI,BUY,100
2009,3,12,NI,SELL,100
2008,10,6,NVDA,BUY,100
2008,10,13,NVDA,SELL,100
2008,10,14,NVDA,BUY,100
2008,10,21,NVDA,SELL,100
2008,11,6,NVDA,BUY,100
2008,11,13,NVDA,SELL,100
2008,11,11,NVDA,BUY,100
2008,11,18,NVDA,SELL,100
2008,12,23,NVDA,BUY,100
2008,12,31,NVDA,SELL,100
2009,1,9,NVDA,BUY,100
2009,1,16,NVDA,SELL,100
2009,1,30,NVDA,BUY,100
2009,2,6,NVDA,SELL,100
2009,2,17,NVDA,BUY,100
2009,2,24,NVDA,SELL,100
2009,2,19,NVDA,BUY,100
2009,2,26,NVDA,SELL,100
2009,3,2,NVDA,BUY,100
